id,dni,nombres,apellidos,fecha_nacimiento,estado,institucion_id
9033,65036005,Enrique,Yupanqui Duran,2016-06-13,1,14
9034,70735241,Andres,Bautista Mercado,2016-04-14,1,14
9035,64006430,Emiliano,Bautista Mercado,2016-10-12,1,14
9036,69472646,Fiorella,Ramos Gamboa,2016-02-15,1,14
9037,70197504,Gonzalo,Suarez Olivera,2016-05-19,1,14
9038,68225093,Brianna,Molina Chacon,2016-12-18,1,14
9039,72625688,Mateo,Aguilar Paz,2016-06-01,1,14
9040,77777624,Vanessa,Aguilar Paz,2016-02-07,1,14
9041,72498756,Piero,Palma Terrones,2016-09-14,1,14
9042,79052902,Hector,Cornejo Villegas,2016-02-19,1,14
9043,70947186,Fernando,Benavides Cabanillas,2016-07-23,0,14
9044,66801907,Patrick,Benavides Cabanillas,2016-04-03,1,14
9045,64051252,Luis,Falcon Infantes,2016-06-14,0,14
9046,75547331,Maite,Falcon Infantes,2016-08-10,0,14
9047,68328840,Andres,Portilla Leon,2016-03-03,1,14
9048,70027430,Pierina,Portilla Leon,2016-09-02,1,14
9049,63419443,Dulce,Hidalgo Nolasco,2016-02-15,1,14
9050,62069274,Romina,Hidalgo Nolasco,2016-02-01,1,14
9051,68684579,Dylan,Poma Carrion,2016-10-19,1,14
9052,71124968,Ian,Contreras Bustamante,2016-02-28,1,14
9053,72842268,Hector,Zevallos Inga,2016-08-01,1,14
9054,66279749,Valeria,Zevallos Inga,2016-06-07,1,14
9055,76740024,Dulce,Yactayo Aliaga,2015-11-10,1,14
9056,62943446,Alonso,Yactayo Aliaga,2015-08-02,1,14
9057,72049802,Camila,Montes Figueroa,2015-07-26,1,14
9058,76857520,Jose,Montes Figueroa,2015-06-19,1,14
9059,75827101,Axel,Huaranga Jauregui,2015-01-26,1,14
9060,68316702,Mia,Huaranga Jauregui,2015-03-04,1,14
9061,65828808,Tatiana,Paucar Cueva,2015-06-27,1,14
9062,64768161,Araceli,Chumpitaz Salvatierra,2015-10-19,1,14
9063,70370100,Estrella,Chumpitaz Salvatierra,2015-08-18,1,14
9064,71131145,Alejandro,Orellana Barreto,2015-08-01,1,14
9065,65954565,Brianna,Orellana Barreto,2015-03-11,0,14
9066,77659525,Emanuel,Quiroz Robles,2015-02-28,0,14
9067,65284953,Esteban,Valdez Huayta,2015-06-05,1,14
9068,79761887,Araceli,Huaman Caceres,2015-04-22,0,14
9069,66109649,Pierina,Quispe Campos,2015-10-02,1,14
9070,62610757,Lucia,Flores Ibarra,2015-03-11,1,14
9071,68899052,Priscila,Gutierrez Meza,2015-08-01,1,14
9072,63625039,Gael,Gutierrez Meza,2015-06-09,1,14
9073,78321524,Lucia,Rios Acosta,2015-07-12,1,14
9074,70694364,Thiago,Vasquez Otero,2015-05-01,1,14
9075,71339739,Emiliano,Torres Valverde,2015-09-03,1,14
9076,74472809,Zoe,Torres Valverde,2015-12-01,1,14
9077,78592927,Hugo,Chavez Gallegos,2015-04-14,1,14
9078,78443617,Benjamin,Mendez Saavedra,2015-07-19,1,14
9079,63254340,Martin,Paredes Requena,2015-08-07,1,14
9080,76411365,Vanessa,Herrera Espinosa,2015-07-16,1,14
9081,78257839,Lorena,Herrera Espinosa,2015-02-21,1,14
9082,68838264,Bruno,Silva Arce,2015-08-15,1,14
9083,79787935,Sergio,Luna Carbajal,2015-09-14,1,14
9084,77534951,Luciano,Luna Carbajal,2015-07-27,1,14
9085,61165294,Dylan,Espinoza Bravo,2015-07-28,1,14
9086,67109853,Karina,Vargas Mendoza,2015-03-06,1,14
9087,70729012,Emanuel,Huanca Porras,2015-10-09,1,14
9088,75373203,Jessica,Ccallo Segura,2015-05-17,1,14
9089,64972758,Bianca,Mamani Cespedes,2015-07-05,1,14
9090,73787181,Claudia,Apaza Alcantara,2015-09-12,1,14
9091,73479483,Mario,Condori Trujillo,2015-03-20,1,14
9092,61653930,David,Condori Trujillo,2015-12-08,1,14
9093,76496003,Karla,Soto Camacho,2014-05-09,1,14
9094,73984572,Almendra,Ramirez Estrada,2014-06-09,1,14
9095,65334230,Rosario,Castillo Velarde,2014-01-17,1,14
9096,66735272,Luciana,Pena Osorio,2014-03-07,1,14
9097,61696487,Dulce,Pena Osorio,2014-01-15,1,14
9098,68118095,Samantha,Villanueva Miranda,2014-11-01,1,14
9099,68679186,Jazmin,Cruz Cabrera,2014-03-27,1,14
9100,67427309,Samuel,Cardenas Cano,2014-04-28,1,14
9101,65811649,Mateo,Rojas Pinto,2014-08-05,0,14
9102,68455673,Ricardo,Salazar Fuentes,2014-06-15,1,14
9103,72557067,Roberto,Montoya Vega,2014-11-27,1,14
9104,63627386,Claudia,Montoya Vega,2014-05-22,1,14
9105,77357492,Esteban,Tapia Ochoa,2014-04-05,0,14
9106,76689062,Rafael,Reyes Serrano,2014-12-01,1,14
9107,67461270,Estrella,Navarro Guerrero,2014-06-24,1,14
9108,66077910,Cristian,Rivera Lara,2014-11-18,0,14
9109,67457590,Priscila,Delgado Dominguez,2014-11-03,1,14
9110,71117158,Diego,Delgado Dominguez,2014-07-26,1,14
9111,62389603,Gabriel,Benites Blanco,2014-10-20,1,14
9112,66720838,Benjamin,Sanchez Mora,2014-03-05,1,14
9113,71161192,Kiara,Pariona Heredia,2014-02-16,1,14
9114,61946613,Valeria,Pariona Heredia,2014-06-21,1,14
9115,74552940,Adrian,Lopez Solis,2014-03-20,1,14
9116,72861964,Fiorella,Lopez Solis,2014-07-16,1,14
9117,60138372,Estrella,Choque Villar,2014-01-22,1,14
9118,71554461,Dulce,Choque Villar,2014-04-23,1,14
9119,75298348,Sebastian,Diaz Correa,2014-05-10,1,14
9120,64489228,Flavia,Diaz Correa,2014-07-22,1,14
9121,67526975,Fiorella,Fernandez Mejia,2014-01-08,1,14
9122,60735287,Micaela,Fernandez Mejia,2014-04-24,1,14
9123,61630307,Ximena,Vera Sandoval,2014-09-20,1,14
9124,64147162,Xiomara,Cordova Davila,2014-08-13,0,14
9125,77458680,Alberto,Ruiz Alfaro,2014-11-04,1,14
9126,63565618,Samantha,Alarcon Linares,2014-05-04,1,14
9127,77553870,Gonzalo,Alarcon Linares,2014-05-27,1,14
9128,76128405,Carlos,Morales Calderon,2014-04-23,1,14
9129,77169982,Natalia,Aquino Toledo,2014-02-25,1,14
9130,67756452,Nicolas,Aquino Toledo,2014-05-21,1,14
9131,69749816,Eduardo,Gonzales Garay,2013-01-28,1,14
9132,64643746,Antonella,Carpio Matos,2013-01-28,1,14
9133,71499866,Adrian,Barrios Cisneros,2013-06-27,1,14
9134,65596165,Zoe,Perez Becerra,2013-07-21,1,14
9135,73959573,Luciano,Perez Becerra,2013-03-04,1,14
9136,64384065,Araceli,Medina Cuevas,2013-10-01,1,14
9137,77609966,Fernando,Salinas Reynoso,2013-01-23,1,14
9138,68340859,Renata,Palomino Aranda,2013-07-22,1,14
9139,65265608,Sophia,Huamani Duran,2013-01-21,1,14
9140,69333404,Jessica,Zarate Mercado,2013-04-11,1,14
9141,62953456,Jorge,Lozano Gamboa,2013-10-15,0,14
9142,76689080,Karina,Lozano Gamboa,2013-06-04,1,14
9143,70220611,Valentina,Espejo Olivera,2013-02-26,1,14
9144,78795543,Ivanna,Romero Chacon,2013-08-11,1,14
9145,71916486,Alvaro,Pinedo Paz,2013-01-11,1,14
9146,76522945,Franco,Arevalo Terrones,2013-01-06,0,14
9147,73183418,Estrella,Cubas Villegas,2013-02-28,1,14
9148,63616018,Marcos,Cubas Villegas,2013-12-11,1,14
9149,76737911,Tomas,Nunez Cabanillas,2013-09-05,1,14
9150,79413063,Roberto,Tello Infantes,2013-03-23,1,14
9151,70799284,Ian,Tello Infantes,2013-02-13,1,14
9152,64475216,Pablo,Chambi Leon,2013-05-15,1,14
9153,69750229,Celeste,Rosas Nolasco,2013-04-07,1,14
9154,65966404,Micaela,Rosas Nolasco,2013-12-21,1,14
9155,77914805,Xiomara,Aguirre Carrion,2013-11-24,1,14
9156,61899341,Emanuel,Calle Bustamante,2013-01-22,1,14
9157,68407432,Fabian,Calle Bustamante,2013-05-22,0,14
9158,78853731,Walter,Jara Inga,2013-02-20,1,14
9159,69651551,Tatiana,Jara Inga,2013-04-17,1,14
9160,60435041,Gabriela,Pacheco Aliaga,2013-09-02,1,14
9161,66592408,Rosario,Yupanqui Figueroa,2012-10-18,0,14
9162,77241839,Victoria,Bautista Jauregui,2012-03-06,1,14
9163,71091846,Gabriel,Ramos Cueva,2012-05-01,1,14
9164,70825667,Rodrigo,Ramos Cueva,2012-01-05,1,14
9165,70665578,Araceli,Suarez Salvatierra,2012-02-26,1,14
9166,63085180,Arturo,Molina Barreto,2012-09-13,1,14
9167,60295403,Alejandro,Aguilar Robles,2012-08-18,1,14
9168,68181481,Sergio,Aguilar Robles,2012-08-08,1,14
9169,60828986,Arturo,Palma Huayta,2012-12-10,1,14
9170,66459643,Sebastian,Cornejo Caceres,2012-05-21,1,14
9171,67152970,Ariana,Benavides Campos,2012-04-22,1,14
9172,78044037,Dafne,Benavides Campos,2012-02-07,1,14
9173,62457796,David,Falcon Ibarra,2012-01-03,1,14
9174,75137265,Lorena,Portilla Meza,2012-07-13,1,14
9175,73069513,Luana,Portilla Meza,2012-06-01,1,14
9176,63561317,Emiliano,Hidalgo Acosta,2012-06-17,1,14
9177,61034119,Almendra,Poma Otero,2012-07-13,1,14
9178,73119533,Ivan,Poma Otero,2012-04-05,1,14
9179,78625050,Rosario,Contreras Valverde,2012-01-18,1,14
9180,71537746,Jimena,Zevallos Gallegos,2012-05-07,0,14
9181,66173771,Roberto,Zevallos Gallegos,2012-03-06,1,14
9182,78443683,Sophia,Yactayo Saavedra,2012-09-15,1,14
9183,66624235,Gael,Yactayo Saavedra,2012-05-04,1,14
9184,62342397,Regina,Montes Requena,2012-02-10,0,14
9185,72230370,Natalia,Huaranga Espinosa,2012-10-19,1,14
9186,74633895,Alvaro,Paucar Arce,2012-12-24,1,14
9187,63651817,Diego,Chumpitaz Carbajal,2012-08-18,1,14
9188,64697676,Dylan,Chumpitaz Carbajal,2012-05-28,1,14
9189,73594056,Luciana,Orellana Bravo,2012-10-19,1,14
9190,64987295,Abigail,Quiroz Mendoza,2012-11-25,0,14
9191,72209302,Roberto,Valdez Porras,2012-02-13,1,14
9192,78985518,Fabian,Huaman Segura,2012-03-19,1,14
9193,68870352,Jose,Quispe Cespedes,2012-04-03,1,14
9194,70874022,Marco,Flores Alcantara,2012-01-02,1,14
9195,72700973,Valeria,Gutierrez Trujillo,2012-07-21,1,14
9196,72627498,Emiliano,Gutierrez Trujillo,2012-09-09,1,14
9197,76838854,Pedro,Rios Camacho,2011-10-01,1,14
9198,65280036,Celeste,Vasquez Estrada,2011-03-06,1,14
9199,76066353,Bianca,Torres Velarde,2011-08-22,1,14
9200,64520588,Samuel,Chavez Osorio,2011-10-06,1,14
9201,78911435,Renato,Mendez Miranda,2011-09-13,1,14
9202,67360628,Enrique,Paredes Cabrera,2011-08-06,1,14
9203,71498139,Lorena,Herrera Cano,2011-03-24,1,14
9204,77539282,Franco,Silva Pinto,2011-01-07,1,14
9205,61309849,Enrique,Luna Fuentes,2011-10-20,0,14
9206,74478630,Valentina,Espinoza Vega,2011-11-21,1,14
9207,79765173,Pedro,Vargas Ochoa,2011-07-12,1,14
9208,62812451,Pedro,Huanca Serrano,2011-04-28,1,14
9209,63953671,Santiago,Ccallo Guerrero,2011-10-17,1,14
9210,70599902,Ingrid,Ccallo Guerrero,2011-11-07,1,14
9211,72268979,Ivan,Mamani Lara,2011-07-19,1,14
9212,78760075,Zoe,Apaza Dominguez,2011-03-12,1,14
9213,63995855,Pierina,Condori Blanco,2011-12-05,1,14
9214,61746602,Flavia,Soto Mora,2011-09-20,1,14
9215,62150183,Martin,Ramirez Heredia,2011-07-03,1,14
9216,61266858,Javier,Ramirez Heredia,2011-02-20,1,14
9217,76588250,Daniela,Castillo Solis,2011-03-21,1,14
9218,67773587,Martin,Pena Villar,2011-09-17,1,14
9219,73402770,Fabian,Villanueva Correa,2011-02-09,1,14
9220,69546027,Gael,Cruz Mejia,2011-02-18,0,14
9221,66527182,Andrea,Cardenas Sandoval,2011-04-20,1,14
9222,76883555,Franco,Rojas Davila,2011-09-03,1,14
9223,72652714,Ximena,Salazar Alfaro,2011-12-15,1,14
9224,75396398,Dulce,Salazar Alfaro,2011-06-25,0,14
9225,67394803,Ricardo,Montoya Linares,2011-11-26,1,14
9226,68836549,Isabella,Tapia Calderon,2011-12-27,1,14
9227,67333862,Abigail,Reyes Toledo,2011-06-12,1,14
9228,66380962,Paola,Reyes Toledo,2011-03-24,1,14
9229,65234342,Stefano,Navarro Garay,2011-10-12,1,14
9230,76183036,Arturo,Rivera Matos,2011-01-28,1,14
9231,67452197,Roberto,Delgado Cisneros,2011-05-13,1,14
9232,73210947,Mariana,Benites Becerra,2011-09-12,1,14
9233,67071676,Mateo,Sanchez Cuevas,2010-01-22,1,14
9234,71512406,Regina,Pariona Reynoso,2010-05-16,1,14
9235,66036080,Mario,Lopez Aranda,2010-05-15,1,14
9236,64893703,Luana,Choque Duran,2010-07-07,1,14
9237,77917482,Rafael,Diaz Mercado,2010-11-17,1,14
9238,65480844,Sophia,Fernandez Gamboa,2010-07-04,1,14
9239,78802227,Lorena,Vera Olivera,2010-06-12,1,14
9240,73816403,Ximena,Vera Olivera,2010-06-01,1,14
9241,70908219,Valeria,Cordova Chacon,2010-05-12,1,14
9242,62630919,Emma,Cordova Chacon,2010-12-15,1,14
9243,79180974,Flavia,Ruiz Paz,2010-07-21,1,14
9244,68974884,Fernando,Alarcon Terrones,2010-11-10,0,14
9245,66170196,Karina,Morales Villegas,2010-07-06,1,14
9246,62140517,Hector,Aquino Cabanillas,2010-02-04,1,14
9247,65210143,Jimena,Gonzales Infantes,2010-02-09,1,14
9248,64241673,Ariel,Carpio Leon,2010-08-21,1,14
9249,71973605,Cristian,Carpio Leon,2010-01-02,1,14
9250,78095488,Almendra,Barrios Nolasco,2010-03-23,1,14
9251,78108257,Vanessa,Perez Carrion,2010-06-16,0,14
9252,72273651,Adrian,Perez Carrion,2010-08-10,1,14
9253,75743670,Romina,Medina Bustamante,2010-06-10,1,14
9254,67758301,Oscar,Salinas Inga,2010-05-20,1,14
9255,73076942,Stefano,Palomino Aliaga,2010-03-23,1,14
9256,77849087,Patrick,Huamani Figueroa,2010-05-21,1,14
9257,69131306,Marco,Zarate Jauregui,2010-10-15,1,14
9258,63431728,Ivan,Lozano Cueva,2010-01-06,1,14
9259,71472691,Mateo,Espejo Salvatierra,2010-08-07,0,14
9260,61064921,Carlos,Espejo Salvatierra,2010-06-15,1,14
9261,66093610,Victoria,Romero Barreto,2010-09-16,1,14
9262,60423305,Marcelo,Romero Barreto,2010-07-27,1,14
9263,63152784,Thiago,Pinedo Robles,2010-04-15,1,14
9264,70472652,Maite,Pinedo Robles,2010-08-13,1,14
9265,66668058,Pedro,Arevalo Huayta,2010-11-10,0,14
9266,69264380,Jessica,Cubas Caceres,2010-01-06,1,14
9267,65200666,Abigail,Nunez Campos,2010-12-20,1,14
9268,62005720,Flavia,Tello Ibarra,2010-11-02,1,14
9269,71654049,Fernando,Chambi Meza,2009-09-26,1,14
9270,76284037,Rafael,Rosas Acosta,2009-05-02,1,14
9271,75716718,Jazmin,Aguirre Otero,2009-06-24,1,14
9272,68836535,Karina,Calle Valverde,2009-05-27,1,14
9273,76977124,Yamilet,Calle Valverde,2009-01-25,1,14
9274,73002035,Gael,Jara Gallegos,2009-11-18,1,14
9275,63706561,Victor,Pacheco Saavedra,2009-11-11,1,14
9276,64354501,Gael,Pacheco Saavedra,2009-01-27,1,14
9277,73039212,Samuel,Yupanqui Requena,2009-11-27,1,14
9278,67406227,Ximena,Yupanqui Requena,2009-01-12,1,14
9279,73957073,Luciano,Bautista Espinosa,2009-06-18,1,14
9280,67244403,Emiliano,Ramos Arce,2009-05-03,1,14
9281,79126954,Alejandro,Suarez Carbajal,2009-11-08,1,14
9282,74330258,Araceli,Molina Bravo,2009-11-15,1,14
9283,74865021,Fernanda,Aguilar Mendoza,2009-09-20,1,14
9284,68077308,Oscar,Palma Porras,2009-12-11,1,14
9285,61163093,Karina,Cornejo Segura,2009-07-01,1,14
9286,70566447,Alvaro,Benavides Cespedes,2009-04-28,1,14
9287,75447447,Natalia,Falcon Alcantara,2009-02-02,1,14
9288,79533904,Rafael,Falcon Alcantara,2009-05-12,1,14
9289,70894857,Oliver,Portilla Trujillo,2009-12-03,1,14
9290,79335152,Valeria,Portilla Trujillo,2009-08-27,1,14
9291,74572837,Luciano,Hidalgo Camacho,2009-06-12,1,14
9292,77595385,Ingrid,Poma Estrada,2009-01-10,1,14
9293,73182955,Natalia,Contreras Velarde,2009-01-22,1,14
9294,69723504,Catalina,Contreras Velarde,2009-04-14,1,14
9295,68809983,Sophia,Zevallos Osorio,2009-09-13,1,14
9296,79170676,Emma,Yactayo Miranda,2009-07-21,1,14
9297,62403973,Alejandro,Yactayo Miranda,2009-04-08,1,14
9298,66391775,Dafne,Montes Cabrera,2009-06-12,1,14
9299,70228023,Martin,Montes Cabrera,2009-11-01,1,14
9300,72543344,Piero,Huaranga Cano,2009-04-22,1,14
9301,61829992,Dylan,Huaranga Cano,2009-02-24,0,14
9302,75810523,Dante,Paucar Pinto,2009-05-15,1,14
9303,67109355,Hugo,Paucar Pinto,2009-12-18,1,14
9304,60617016,Adriana,Chumpitaz Fuentes,2009-12-23,1,14
9305,65714979,Alejandro,Chumpitaz Fuentes,2008-01-09,1,14
9306,69103665,Mateo,Orellana Vega,2008-02-13,1,14
9307,69814522,Milagros,Orellana Vega,2008-02-01,1,14
9308,77836215,Renata,Quiroz Ochoa,2008-06-16,0,14
9309,76439418,Alejandro,Valdez Serrano,2008-05-11,1,14
9310,71808243,Fabian,Valdez Serrano,2008-01-12,1,14
9311,69401745,Tatiana,Huaman Guerrero,2008-01-18,1,14
9312,79223285,Mia,Quispe Lara,2008-07-08,1,14
9313,75071616,Diego,Quispe Lara,2008-10-11,1,14
9314,77575995,Brianna,Flores Dominguez,2008-03-10,1,14
9315,63972418,Aaron,Gutierrez Blanco,2008-09-24,1,14
9316,74864763,Grecia,Rios Mora,2008-07-10,1,14
9317,66306005,Andrea,Rios Mora,2008-03-25,1,14
9318,67748133,Mia,Vasquez Heredia,2008-10-08,1,14
9319,75992116,Araceli,Vasquez Heredia,2008-02-23,1,14
9320,65495758,Emma,Torres Solis,2008-08-05,1,14
9321,60503794,Thiago,Torres Solis,2008-07-25,1,14
9322,70901688,Jorge,Chavez Villar,2008-10-16,1,14
9323,73225503,Ingrid,Mendez Correa,2008-12-11,1,14
9324,75153503,Mariana,Paredes Mejia,2008-09-04,1,14
9325,77318337,Sebastian,Herrera Sandoval,2008-09-13,1,14
9326,65586363,Esteban,Silva Davila,2008-05-15,1,14
9327,76799287,Walter,Luna Alfaro,2008-02-24,1,14
9328,75222999,Walter,Espinoza Linares,2008-01-06,1,14
9329,68391369,Brianna,Espinoza Linares,2008-08-03,1,14
9330,62862412,Walter,Vargas Calderon,2008-11-12,1,14
9331,77168677,Tatiana,Vargas Calderon,2008-12-26,1,14
9332,65036175,Priscila,Huanca Toledo,2008-10-28,1,14
9333,66063152,Walter,Ccallo Garay,2008-05-21,1,14
9334,68492995,Ian,Ccallo Garay,2008-04-01,1,14
9335,79758940,Lucia,Mamani Matos,2008-04-07,1,14
9336,62664386,Yamilet,Mamani Matos,2008-07-15,1,14
9337,64974651,Maite,Apaza Cisneros,2008-01-06,1,14
9338,61645219,Karla,Condori Becerra,2008-06-03,1,14
9339,69542227,Eduardo,Condori Becerra,2008-03-22,0,14
9340,72085925,Marco,Soto Cuevas,2008-12-19,1,14
