id,nombres,telefono,correo,parentesco,usuario_id
8068,Mercedes Pariona,992424037,mercedes.pariona@mail.com,Madre,3924
8069,Yolanda Lopez,959095909,yolanda.lopez@mail.com,Madre,3925
8070,Flor Choque,992048427,flor.choque@mail.com,Madre,3926
8071,Silvia Diaz,921375216,silvia.diaz@mail.com,Madre,3927
8072,Roberto Fernandez,962138657,roberto.fernandez@mail.com,Padre,3928
8073,Roberto Vera,952222214,roberto.vera@mail.com,Padre,3929
8074,Yolanda Cordova,997653539,yolanda.cordova@mail.com,Madre,3930
8075,Walter Ruiz,932576626,walter.ruiz@mail.com,Padre,3931
8076,Milagros Alarcon,939332201,milagros.alarcon@mail.com,Madre,3932
8077,Milagros Morales,956785209,milagros.morales@mail.com,Madre,3933
8078,Flor Aquino,932277675,flor.aquino@mail.com,Madre,3934
8079,Flor Gonzales,932599227,flor.gonzales@mail.com,Madre,3935
8080,Carmen Carpio,965243509,carmen.carpio@mail.com,Madre,3936
8081,Lucia Barrios,975694038,lucia.barrios@mail.com,Madre,3937
8082,Milagros Perez,953928023,milagros.perez@mail.com,Madre,3938
8083,Mercedes Medina,967665720,mercedes.medina@mail.com,Madre,3939
8084,Norma Salinas,956135950,norma.salinas@mail.com,Madre,3940
8085,Roberto Palomino,931337593,roberto.palomino@mail.com,Padre,3941
8086,Fernando Huamani,963196064,fernando.huamani@mail.com,Padre,3942
8087,Jorge Zarate,911082139,jorge.zarate@mail.com,Padre,3943
8088,Victor Lozano,961367949,victor.lozano@mail.com,Padre,3944
8089,Juana Espejo,992688322,juana.espejo@mail.com,Madre,3945
8090,Mercedes Romero,967631581,mercedes.romero@mail.com,Madre,3946
8091,Flor Pinedo,913600310,flor.pinedo@mail.com,Madre,3947
8092,Lucia Arevalo,961792685,lucia.arevalo@mail.com,Madre,3948
8093,Isabel Cubas,927714442,isabel.cubas@mail.com,Madre,3949
8094,Ana Nunez,988834594,ana.nunez@mail.com,Madre,3950
8095,Victor Tello,965758338,victor.tello@mail.com,Padre,3951
8096,Pedro Chambi,920606094,pedro.chambi@mail.com,Padre,3952
8097,Ana Rosas,968718382,ana.rosas@mail.com,Madre,3953
8098,Luis Aguirre,951512209,luis.aguirre@mail.com,Padre,3954
8099,Enrique Calle,979420474,enrique.calle@mail.com,Padre,3955
8100,Carmen Jara,954964418,carmen.jara@mail.com,Madre,3956
8101,Ana Pacheco,971095611,ana.pacheco@mail.com,Madre,3957
8102,Jose Yupanqui,925479814,jose.yupanqui@mail.com,Padre,3958
8103,Rosa Bautista,998007006,rosa.bautista@mail.com,Madre,3959
8104,Elena Ramos,979226031,elena.ramos@mail.com,Madre,3960
8105,Pedro Suarez,971303434,pedro.suarez@mail.com,Padre,3961
8106,Enrique Molina,976217748,enrique.molina@mail.com,Padre,3962
8107,Maria Aguilar,982684966,maria.aguilar@mail.com,Madre,3963
8108,Miguel Palma,947557512,miguel.palma@mail.com,Padre,3964
8109,Norma Cornejo,977837366,norma.cornejo@mail.com,Madre,3965
8110,Juana Benavides,949148093,juana.benavides@mail.com,Madre,3966
8111,Carmen Falcon,924181143,carmen.falcon@mail.com,Madre,3967
8112,Fernando Portilla,990973889,fernando.portilla@mail.com,Padre,3968
8113,Maria Hidalgo,970693413,maria.hidalgo@mail.com,Madre,3969
8114,Juana Poma,963765180,juana.poma@mail.com,Madre,3970
8115,Pedro Contreras,996702893,pedro.contreras@mail.com,Padre,3971
8116,Rosa Zevallos,987025433,rosa.zevallos@mail.com,Madre,3972
8117,Roberto Yactayo,992423989,roberto.yactayo@mail.com,Padre,3973
8118,Ricardo Montes,943440045,ricardo.montes@mail.com,Padre,3974
8119,Carlos Huaranga,990143600,carlos.huaranga@mail.com,Padre,3975
8120,Miguel Paucar,987268086,miguel.paucar@mail.com,Padre,3976
8121,Isabel Chumpitaz,913785821,isabel.chumpitaz@mail.com,Madre,3977
8122,Miguel Orellana,990753812,miguel.orellana@mail.com,Padre,3978
8123,Patricia Quiroz,912941099,patricia.quiroz@mail.com,Madre,3979
8124,Isabel Valdez,988653825,isabel.valdez@mail.com,Madre,3980
8125,Hector Huaman,933381086,hector.huaman@mail.com,Padre,3981
8126,Victor Quispe,933851602,victor.quispe@mail.com,Padre,3982
8127,Flor Flores,995851936,flor.flores@mail.com,Madre,3983
8128,Elena Gutierrez,999929175,elena.gutierrez@mail.com,Madre,3984
8129,Jorge Rios 1,932325567,jorge.rios@mail.com,Padre,3985
8130,Norma Vasquez,931831387,norma.vasquez@mail.com,Madre,3986
8131,Julio Torres,960393104,julio.torres@mail.com,Padre,3987
8132,Oscar Chavez,917188130,oscar.chavez@mail.com,Padre,3988
8133,Gloria Mendez,949916439,gloria.mendez@mail.com,Madre,3989
8134,Enrique Paredes,967392300,enrique.paredes@mail.com,Padre,3990
8135,Victor Herrera 1,973561576,victor.herrera@mail.com,Padre,3991
8136,Raul Silva,935042738,raul.silva@mail.com,Padre,3992
8137,Miguel Luna,999586100,miguel.luna@mail.com,Padre,3993
8138,Gladys Espinoza,941627336,gladys.espinoza@mail.com,Madre,3994
8139,Norma Vargas,926143959,norma.vargas@mail.com,Madre,3995
8140,Oscar Huanca,968437492,oscar.huanca@mail.com,Padre,3996
8141,Ana Ccallo,962089786,ana.ccallo@mail.com,Madre,3997
8142,Luis Mamani,980137085,luis.mamani@mail.com,Padre,3998
8143,Carmen Apaza,985522135,carmen.apaza@mail.com,Madre,3999
8144,Norma Condori,915028557,norma.condori@mail.com,Madre,4000
8145,Isabel Soto,955347617,isabel.soto@mail.com,Madre,4001
8146,Lucia Ramirez,950329802,lucia.ramirez@mail.com,Madre,4002
8147,Jorge Castillo,964649480,jorge.castillo@mail.com,Padre,4003
8148,Mercedes Pena,980368504,mercedes.pena@mail.com,Madre,4004
8149,Gloria Villanueva,972306347,gloria.villanueva@mail.com,Madre,4005
8150,Elena Cruz,988769733,elena.cruz@mail.com,Madre,4006
8151,Silvia Cardenas,961883966,silvia.cardenas@mail.com,Madre,4007
8152,Gloria Rojas,978891441,gloria.rojas@mail.com,Madre,4008
8153,Mario Salazar,996267144,mario.salazar@mail.com,Padre,4009
8154,Cesar Montoya,988448538,cesar.montoya@mail.com,Padre,4010
8155,Mario Tapia,947162866,mario.tapia@mail.com,Padre,4011
8156,Flor Reyes 1,998654879,flor.reyes@mail.com,Madre,4012
8157,Oscar Navarro,962113377,oscar.navarro@mail.com,Padre,4013
8158,Gladys Rivera,978090647,gladys.rivera@mail.com,Madre,4014
8159,Mario Delgado,934571018,mario.delgado@mail.com,Padre,4015
8160,Milagros Benites,973154349,milagros.benites@mail.com,Madre,4016
8161,Jose Sanchez 1,981113720,jose.sanchez@mail.com,Padre,4017
8162,Milagros Pariona,952464268,milagros.pariona@mail.com,Madre,4018
8163,Fernando Lopez,931264801,fernando.lopez@mail.com,Padre,4019
8164,Isabel Choque,953246714,isabel.choque@mail.com,Madre,4020
8165,Cesar Diaz,951086072,cesar.diaz@mail.com,Padre,4021
8166,Isabel Fernandez,932130289,isabel.fernandez@mail.com,Madre,4022
8167,Enrique Vera,960357475,enrique.vera@mail.com,Padre,4023
8168,Jose Cordova,916473999,jose.cordova@mail.com,Padre,4024
8169,Roberto Ruiz,994598956,roberto.ruiz@mail.com,Padre,4025
8170,Juana Alarcon,924081350,juana.alarcon@mail.com,Madre,4026
8171,Oscar Morales,931524980,oscar.morales@mail.com,Padre,4027
8172,Pedro Aquino,987061479,pedro.aquino@mail.com,Padre,4028
8173,Gloria Gonzales,916721650,gloria.gonzales@mail.com,Madre,4029
8174,Lourdes Carpio,922750478,lourdes.carpio@mail.com,Madre,4030
8175,Enrique Barrios,993457527,enrique.barrios@mail.com,Padre,4031
8176,Jorge Perez,961769856,jorge.perez@mail.com,Padre,4032
8177,Marco Medina,934328380,marco.medina@mail.com,Padre,4033
8178,Oscar Salinas,916170301,oscar.salinas@mail.com,Padre,4034
8179,Norma Palomino,999904987,norma.palomino@mail.com,Madre,4035
8180,Mercedes Huamani,984939694,mercedes.huamani@mail.com,Madre,4036
8181,Hector Zarate,920048242,hector.zarate@mail.com,Padre,4037
8182,Raul Lozano,941541166,raul.lozano@mail.com,Padre,4038
8183,Raul Espejo,914809280,raul.espejo@mail.com,Padre,4039
8184,Milagros Romero,958767001,milagros.romero@mail.com,Madre,4040
8185,Isabel Pinedo,925303956,isabel.pinedo@mail.com,Madre,4041
8186,Silvia Arevalo,980059652,silvia.arevalo@mail.com,Madre,4042
8187,Lourdes Cubas,944130133,lourdes.cubas@mail.com,Madre,4043
8188,Marco Nunez,970465703,marco.nunez@mail.com,Padre,4044
8189,Yolanda Tello,988533572,yolanda.tello@mail.com,Madre,4045
8190,Luis Chambi,946721417,luis.chambi@mail.com,Padre,4046
8191,Roxana Rosas,983525272,roxana.rosas@mail.com,Madre,4047
8192,Patricia Aguirre,957276557,patricia.aguirre@mail.com,Madre,4048
8193,Maria Calle,924290224,maria.calle@mail.com,Madre,4049
8194,Victor Jara,982634888,victor.jara@mail.com,Padre,4050
8195,Raul Pacheco,965910573,raul.pacheco@mail.com,Padre,4051
8196,Jorge Yupanqui,995065651,jorge.yupanqui@mail.com,Padre,4052
8197,Silvia Bautista,933813700,silvia.bautista@mail.com,Madre,4053
8198,Mario Ramos,945465638,mario.ramos@mail.com,Padre,4054
8199,Flor Suarez,975840632,flor.suarez@mail.com,Madre,4055
8200,Roxana Molina,977798790,roxana.molina@mail.com,Madre,4056
8201,Patricia Aguilar,958425464,patricia.aguilar@mail.com,Madre,4057
8202,Patricia Palma,925216804,patricia.palma@mail.com,Madre,4058
8203,Isabel Cornejo,978281335,isabel.cornejo@mail.com,Madre,4059
8204,Jose Benavides,982205759,jose.benavides@mail.com,Padre,4060
8205,Lourdes Falcon,930636590,lourdes.falcon@mail.com,Madre,4061
8206,Yolanda Portilla,987170132,yolanda.portilla@mail.com,Madre,4062
8207,Flor Hidalgo,988598977,flor.hidalgo@mail.com,Madre,4063
8208,Flor Poma,947784631,flor.poma@mail.com,Madre,4064
8209,Silvia Contreras,950004466,silvia.contreras@mail.com,Madre,4065
8210,Marco Zevallos,982095327,marco.zevallos@mail.com,Padre,4066
8211,Teresa Yactayo,934341456,teresa.yactayo@mail.com,Madre,4067
8212,Julio Montes,927208745,julio.montes@mail.com,Padre,4068
8213,Jorge Huaranga,992724080,jorge.huaranga@mail.com,Padre,4069
8214,Elena Paucar,952038976,elena.paucar@mail.com,Madre,4070
8215,Julio Chumpitaz,972122457,julio.chumpitaz@mail.com,Padre,4071
8216,Pedro Orellana,912500515,pedro.orellana@mail.com,Padre,4072
8217,Miguel Quiroz,944979330,miguel.quiroz@mail.com,Padre,4073
8218,Marco Valdez,927969238,marco.valdez@mail.com,Padre,4074
8219,Flor Huaman,979006257,flor.huaman@mail.com,Madre,4075
8220,Gladys Quispe,915425057,gladys.quispe@mail.com,Madre,4076
8221,Ricardo Flores,958486337,ricardo.flores@mail.com,Padre,4077
8222,Gloria Gutierrez,987662596,gloria.gutierrez@mail.com,Madre,4078
8223,Raul Rios,956309454,raul.rios@mail.com,Padre,4079
8224,Alberto Vasquez 1,979060560,alberto.vasquez@mail.com,Padre,4080
8225,Carmen Torres,965648506,carmen.torres@mail.com,Madre,4081
8226,Lourdes Chavez,942704875,lourdes.chavez@mail.com,Madre,4082
8227,Marco Mendez,917504382,marco.mendez@mail.com,Padre,4083
8228,Silvia Paredes,939070676,silvia.paredes@mail.com,Madre,4084
8229,Norma Herrera,993646063,norma.herrera@mail.com,Madre,4085
8230,Ana Silva,960762668,ana.silva@mail.com,Madre,4086
8231,Lourdes Luna,991270313,lourdes.luna@mail.com,Madre,4087
8232,Carmen Espinoza,974725282,carmen.espinoza@mail.com,Madre,4088
8233,Miguel Vargas,967573535,miguel.vargas@mail.com,Padre,4089
8234,Norma Huanca,967108220,norma.huanca@mail.com,Madre,4090
8235,Lourdes Ccallo,935369971,lourdes.ccallo@mail.com,Madre,4091
8236,Oscar Mamani,944042008,oscar.mamani@mail.com,Padre,4092
8237,Mercedes Apaza,965462544,mercedes.apaza@mail.com,Madre,4093
8238,Victor Condori,956218720,victor.condori@mail.com,Padre,4094
8239,Fernando Soto,938784084,fernando.soto@mail.com,Padre,4095
8240,Maria Ramirez,929505652,maria.ramirez@mail.com,Madre,4096
8241,Mercedes Castillo,948449249,mercedes.castillo@mail.com,Madre,4097
8242,Cesar Pena,936138432,cesar.pena@mail.com,Padre,4098
8243,Isabel Villanueva,997915178,isabel.villanueva@mail.com,Madre,4099
8244,Marco Cruz,979490249,marco.cruz@mail.com,Padre,4100
8245,Norma Cardenas,956637316,norma.cardenas@mail.com,Madre,4101
8246,Carlos Rojas,933492771,carlos.rojas@mail.com,Padre,4102
8247,Roxana Salazar,982196170,roxana.salazar@mail.com,Madre,4103
8248,Maria Montoya,925605267,maria.montoya@mail.com,Madre,4104
8249,Julio Tapia,957391778,julio.tapia@mail.com,Padre,4105
8250,Julio Reyes,984430642,julio.reyes@mail.com,Padre,4106
8251,Alberto Navarro,937753358,alberto.navarro@mail.com,Padre,4107
8252,Pedro Rivera,992386462,pedro.rivera@mail.com,Padre,4108
8253,Marco Delgado,975874779,marco.delgado@mail.com,Padre,4109
8254,Cesar Benites,974199033,cesar.benites@mail.com,Padre,4110
8255,Milagros Sanchez,979552316,milagros.sanchez@mail.com,Madre,4111
8256,Enrique Pariona,935119175,enrique.pariona@mail.com,Padre,4112
8257,Ricardo Lopez,959970552,ricardo.lopez@mail.com,Padre,4113
8258,Lucia Choque,946231955,lucia.choque@mail.com,Madre,4114
8259,Gladys Diaz,933703827,gladys.diaz@mail.com,Madre,4115
8260,Silvia Fernandez,985448945,silvia.fernandez@mail.com,Madre,4116
8261,Gladys Vera,970378491,gladys.vera@mail.com,Madre,4117
8262,Flor Cordova,987424000,flor.cordova@mail.com,Madre,4118
8263,Roberto Ruiz 1,995977279,roberto.ruiz@mail.com,Padre,4119
8264,Ana Alarcon,956120632,ana.alarcon@mail.com,Madre,4120
8265,Jorge Morales,988775038,jorge.morales@mail.com,Padre,4121
8266,Alberto Aquino,920746107,alberto.aquino@mail.com,Padre,4122
8267,Miguel Gonzales,963286118,miguel.gonzales@mail.com,Padre,4123
8268,Mercedes Carpio,940783635,mercedes.carpio@mail.com,Madre,4124
8269,Hector Barrios,982555977,hector.barrios@mail.com,Padre,4125
8270,Norma Perez,980257585,norma.perez@mail.com,Madre,4126
8271,Carlos Medina,980238316,carlos.medina@mail.com,Padre,4127
8272,Gladys Salinas,950213043,gladys.salinas@mail.com,Madre,4128
8273,Teresa Palomino,985236332,teresa.palomino@mail.com,Madre,4129
8274,Pedro Huamani,993929434,pedro.huamani@mail.com,Padre,4130
8275,Pedro Zarate,928337367,pedro.zarate@mail.com,Padre,4131
8276,Julio Lozano,930421134,julio.lozano@mail.com,Padre,4132
8277,Jorge Espejo,941247296,jorge.espejo@mail.com,Padre,4133
8278,Juana Romero,945769504,juana.romero@mail.com,Madre,4134
8279,Lucia Pinedo,969453211,lucia.pinedo@mail.com,Madre,4135
8280,Miguel Arevalo,979917538,miguel.arevalo@mail.com,Padre,4136
8281,Ricardo Cubas,941670798,ricardo.cubas@mail.com,Padre,4137
8282,Alberto Nunez,915636254,alberto.nunez@mail.com,Padre,4138
8283,Fernando Tello,922267708,fernando.tello@mail.com,Padre,4139
8284,Walter Chambi,926888275,walter.chambi@mail.com,Padre,4140
8285,Ricardo Rosas,960703288,ricardo.rosas@mail.com,Padre,4141
8286,Yolanda Aguirre,935471281,yolanda.aguirre@mail.com,Madre,4142
8287,Yolanda Calle,919244458,yolanda.calle@mail.com,Madre,4143
8288,Carlos Jara,993241474,carlos.jara@mail.com,Padre,4144
8289,Yolanda Pacheco,992280734,yolanda.pacheco@mail.com,Madre,4145
8290,Jose Yupanqui 1,935718350,jose.yupanqui@mail.com,Padre,4146
8291,Ricardo Bautista,920731620,ricardo.bautista@mail.com,Padre,4147
8292,Rosa Ramos,981003974,rosa.ramos@mail.com,Madre,4148
8293,Alberto Suarez,961718263,alberto.suarez@mail.com,Padre,4149
8294,Walter Molina,924161873,walter.molina@mail.com,Padre,4150
8295,Fernando Aguilar,963896091,fernando.aguilar@mail.com,Padre,4151
8296,Yolanda Palma,959891348,yolanda.palma@mail.com,Madre,4152
8297,Walter Cornejo,958319528,walter.cornejo@mail.com,Padre,4153
8298,Roxana Benavides,950512501,roxana.benavides@mail.com,Madre,4154
8299,Gloria Falcon,978621697,gloria.falcon@mail.com,Madre,4155
8300,Victor Portilla,986569490,victor.portilla@mail.com,Padre,4156
8301,Victor Hidalgo,987347488,victor.hidalgo@mail.com,Padre,4157
8302,Lucia Poma,995078886,lucia.poma@mail.com,Madre,4158
8303,Juana Contreras,977431202,juana.contreras@mail.com,Madre,4159
8304,Julio Zevallos,973868130,julio.zevallos@mail.com,Padre,4160
8305,Juana Yactayo,974548325,juana.yactayo@mail.com,Madre,4161
8306,Marco Montes,925103503,marco.montes@mail.com,Padre,4162
8307,Jorge Huaranga 1,969118000,jorge.huaranga@mail.com,Padre,4163
8308,Juana Paucar,911843251,juana.paucar@mail.com,Madre,4164
8309,Gloria Chumpitaz,974830696,gloria.chumpitaz@mail.com,Madre,4165
8310,Luis Orellana,917124981,luis.orellana@mail.com,Padre,4166
8311,Lucia Quiroz,978255127,lucia.quiroz@mail.com,Madre,4167
8312,Jorge Valdez,912884132,jorge.valdez@mail.com,Padre,4168
8313,Cesar Huaman,918322800,cesar.huaman@mail.com,Padre,4169
8314,Raul Quispe,921783647,raul.quispe@mail.com,Padre,4170
8315,Roberto Flores,982659280,roberto.flores@mail.com,Padre,4171
8316,Roberto Gutierrez,931212832,roberto.gutierrez@mail.com,Padre,4172
8317,Juana Rios,952773504,juana.rios@mail.com,Madre,4173
8318,Luis Vasquez,991282861,luis.vasquez@mail.com,Padre,4174
8319,Gladys Torres,934692904,gladys.torres@mail.com,Madre,4175
8320,Lucia Chavez,937455861,lucia.chavez@mail.com,Madre,4176
8321,Lourdes Mendez,915613827,lourdes.mendez@mail.com,Madre,4177
8322,Flor Paredes,980495248,flor.paredes@mail.com,Madre,4178
8323,Lucia Herrera,982191574,lucia.herrera@mail.com,Madre,4179
8324,Teresa Silva,968995922,teresa.silva@mail.com,Madre,4180
8325,Rosa Luna,929091078,rosa.luna@mail.com,Madre,4181
8326,Yolanda Espinoza,962756521,yolanda.espinoza@mail.com,Madre,4182
8327,Elena Vargas,922239481,elena.vargas@mail.com,Madre,4183
8328,Walter Huanca,915892974,walter.huanca@mail.com,Padre,4184
8329,Miguel Ccallo,951347409,miguel.ccallo@mail.com,Padre,4185
8330,Hector Mamani,910771825,hector.mamani@mail.com,Padre,4186
8331,Walter Apaza,993183589,walter.apaza@mail.com,Padre,4187
8332,Roberto Condori,999522760,roberto.condori@mail.com,Padre,4188
8333,Flor Soto,985454146,flor.soto@mail.com,Madre,4189
